date,start,end,remind
2023-06-01,14,21,
2023-06-02,14,21,
2023-06-03,12,21,
2023-06-04,9,17,
2023-06-05,,,
2023-06-06,,,
2023-06-07,,,
2023-06-08,14,21,
2023-06-09,14,21,
2023-06-10,12,21,
2023-06-11,9,17,
2023-06-12,12,21,
2023-06-13,,,
2023-06-14,,,
2023-06-15,14,21,
2023-06-16,14,21,
2023-06-17,12,21,
2023-06-18,9,17,
2023-06-19,12,21,
2023-06-20,,,
2023-06-21,,,
2023-06-22,14,21,
2023-06-23,14,21,
2023-06-24,12,21,
2023-06-25,9,17,
2023-06-26,12,21,
2023-06-27,,,
2023-06-28,,,
2023-06-29,14,21,
2023-06-30,14,21,
